id,human_score,cllm_score,c5_score,cllm_abs_error,c5_abs_error,c5_wins,matched_concepts,n_matched_concepts,chain_pct,solo,bloom
55,2.0,1.0,1.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
56,2.0,1.5,1.0,0.5,1.0,0,,0,0%,Prestructural,Remember
57,3.0,1.5,1.0,1.5,2.0,0,,0,0%,Prestructural,Remember
58,4.0,3.0,1.5,1.0,2.5,0,,0,0%,Prestructural,Remember
59,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
60,3.0,1.0,1.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
61,3.0,3.5,1.0,0.5,2.0,0,,0,0%,Prestructural,Remember
62,3.0,1.0,1.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
63,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
64,4.0,3.5,3.0,0.5,1.0,0,,0,0%,Prestructural,Remember
65,3.0,1.0,1.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
66,4.0,5.0,1.0,1.0,3.0,0,,0,0%,Prestructural,Remember
67,4.0,3.5,1.0,0.5,3.0,0,,0,0%,Prestructural,Remember
68,3.0,2.0,1.0,1.0,2.0,0,,0,0%,Prestructural,Remember
69,5.0,0.0,1.0,5.0,4.0,1,,0,0%,Prestructural,Remember
70,5.0,5.0,3.0,0.0,2.0,0,,0,0%,Prestructural,Remember
71,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
72,4.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
73,4.0,5.0,4.5,1.0,0.5,1,,0,0%,Prestructural,Remember
74,2.0,5.0,1.0,3.0,1.0,1,,0,0%,Prestructural,Remember
75,2.0,1.5,3.0,0.5,1.0,0,,0,0%,Prestructural,Remember
76,3.0,5.0,4.5,2.0,1.5,1,,0,0%,Prestructural,Understand
77,3.0,1.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Understand
78,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
79,3.0,5.0,4.5,2.0,1.5,1,,0,0%,Prestructural,Understand
80,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
81,3.0,5.0,5.0,2.0,2.0,tie,,0,0%,Prestructural,Understand
82,1.0,4.5,2.0,3.5,1.0,1,,0,0%,Prestructural,Understand
83,2.0,5.0,4.0,3.0,2.0,1,,0,0%,Prestructural,Remember
84,1.0,4.5,4.0,3.5,3.0,1,,0,0%,Prestructural,Remember
85,1.0,4.5,3.0,3.5,2.0,1,,0,0%,Prestructural,Remember
86,2.0,4.5,5.0,2.5,3.0,0,,0,0%,Prestructural,Remember
87,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
88,1.0,5.0,5.0,4.0,4.0,tie,,0,0%,Prestructural,Remember
89,2.0,3.0,4.0,1.0,2.0,0,,0,0%,Prestructural,Remember
90,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
91,1.0,5.0,5.0,4.0,4.0,tie,,0,0%,Prestructural,Remember
92,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
93,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
94,2.0,3.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
95,1.0,4.5,5.0,3.5,4.0,0,,0,0%,Prestructural,Remember
96,1.0,4.5,5.0,3.5,4.0,0,,0,0%,Prestructural,Remember
97,1.0,2.0,3.0,1.0,2.0,0,,0,0%,Prestructural,Remember
98,2.0,4.0,3.5,2.0,1.5,1,,0,0%,Prestructural,Remember
99,1.0,2.0,2.5,1.0,1.5,0,,0,0%,Prestructural,Remember
100,0.0,1.5,1.0,1.5,1.0,1,,0,0%,Prestructural,Remember
101,1.0,1.0,5.0,0.0,4.0,0,,0,0%,Prestructural,Remember
102,1.0,0.5,1.0,0.5,0.0,1,,0,0%,Prestructural,Remember
103,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
104,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
105,2.0,4.5,4.0,2.5,2.0,1,,0,0%,Prestructural,Remember
106,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Understand
107,1.0,4.5,5.0,3.5,4.0,0,,0,0%,Prestructural,Remember
108,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
109,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
110,1.0,2.5,3.0,1.5,2.0,0,,0,0%,Prestructural,Remember
111,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
112,3.0,2.5,4.5,0.5,1.5,0,,0,0%,Prestructural,Remember
113,4.0,4.0,5.0,0.0,1.0,0,,0,0%,Prestructural,Remember
114,3.0,4.0,5.0,1.0,2.0,0,,0,0%,Prestructural,Remember
115,3.0,4.5,4.0,1.5,1.0,1,,0,0%,Prestructural,Remember
116,2.0,3.5,3.0,1.5,1.0,1,,0,0%,Prestructural,Remember
117,4.0,4.0,5.0,0.0,1.0,0,,0,0%,Prestructural,Remember
118,3.0,5.0,4.0,2.0,1.0,1,,0,0%,Prestructural,Remember
119,3.0,4.0,5.0,1.0,2.0,0,,0,0%,Prestructural,Remember
120,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Understand
121,4.0,4.0,5.0,0.0,1.0,0,,0,0%,Prestructural,Remember
122,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
123,4.0,4.5,5.0,0.5,1.0,0,,0,0%,Prestructural,Remember
124,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
125,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
126,4.0,4.5,5.0,0.5,1.0,0,,0,0%,Prestructural,Remember
127,4.0,4.5,5.0,0.5,1.0,0,,0,0%,Prestructural,Remember
128,4.0,4.5,5.0,0.5,1.0,0,,0,0%,Prestructural,Remember
129,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
130,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
131,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
132,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
133,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
134,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
135,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
136,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
137,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
138,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
139,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
140,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
141,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
142,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
143,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
144,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
145,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Understand
146,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
147,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
148,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Understand
149,0.0,1.0,1.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
150,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
151,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
152,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
153,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
154,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
155,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
156,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
157,0.0,0.5,0.0,0.5,0.0,1,,0,0%,Prestructural,Remember
158,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
159,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
160,0.0,0.0,0.5,0.0,0.5,0,,0,0%,Prestructural,Remember
161,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
162,4.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
163,4.0,4.5,3.0,0.5,1.0,0,,0,0%,Prestructural,Remember
164,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
165,4.0,2.5,3.0,1.5,1.0,1,,0,0%,Prestructural,Remember
166,4.0,3.5,3.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
167,4.0,5.0,4.5,1.0,0.5,1,,0,0%,Prestructural,Remember
168,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
169,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Understand
170,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
171,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Understand
172,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
173,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
174,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
175,5.0,5.0,0.0,0.0,5.0,0,,0,0%,Prestructural,Remember
176,5.0,4.0,4.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
177,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
178,5.0,4.5,3.0,0.5,2.0,0,,0,0%,Prestructural,Remember
179,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
180,5.0,4.0,3.0,1.0,2.0,0,,0,0%,Prestructural,Remember
181,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Understand
182,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Understand
183,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
184,5.0,3.5,4.5,1.5,0.5,1,,0,0%,Prestructural,Understand
185,5.0,4.5,3.0,0.5,2.0,0,,0,0%,Prestructural,Remember
186,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
187,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
188,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
189,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
190,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
191,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
192,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
193,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
194,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Understand
195,2.0,0.5,3.0,1.5,1.0,1,,0,0%,Prestructural,Remember
196,2.0,4.5,4.0,2.5,2.0,1,,0,0%,Prestructural,Remember
197,2.0,4.5,4.0,2.5,2.0,1,,0,0%,Prestructural,Remember
198,2.0,4.5,4.0,2.5,2.0,1,,0,0%,Prestructural,Remember
199,2.0,4.0,4.5,2.0,2.5,0,,0,0%,Prestructural,Remember
200,2.0,1.0,2.0,1.0,0.0,1,,0,0%,Prestructural,Remember
201,2.0,1.0,2.0,1.0,0.0,1,,0,0%,Prestructural,Remember
202,2.0,1.5,3.0,0.5,1.0,0,,0,0%,Prestructural,Remember
203,2.0,4.5,3.0,2.5,1.0,1,,0,0%,Prestructural,Remember
204,2.0,4.5,3.0,2.5,1.0,1,,0,0%,Prestructural,Remember
205,2.0,4.5,2.0,2.5,0.0,1,,0,0%,Prestructural,Remember
206,2.0,4.0,3.0,2.0,1.0,1,,0,0%,Prestructural,Remember
207,2.0,4.5,4.5,2.5,2.5,tie,,0,0%,Prestructural,Remember
208,2.0,4.5,4.5,2.5,2.5,tie,,0,0%,Prestructural,Remember
209,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
210,5.0,3.5,4.5,1.5,0.5,1,,0,0%,Prestructural,Remember
211,5.0,4.5,5.0,0.5,0.0,1,,0,0%,Prestructural,Remember
212,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
213,5.0,4.5,5.0,0.5,0.0,1,,0,0%,Prestructural,Remember
214,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Understand
215,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
216,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
217,5.0,4.0,4.5,1.0,0.5,1,,0,0%,Prestructural,Remember
218,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
219,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
220,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
221,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
222,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
223,5.0,1.5,4.5,3.5,0.5,1,,0,0%,Prestructural,Remember
224,5.0,4.0,4.5,1.0,0.5,1,,0,0%,Prestructural,Remember
225,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
226,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
227,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
228,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
229,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
230,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
231,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
232,1.0,2.0,2.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
233,1.0,5.0,5.0,4.0,4.0,tie,,0,0%,Prestructural,Remember
234,2.0,1.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
235,2.0,1.5,1.0,0.5,1.0,0,,0,0%,Prestructural,Remember
236,3.0,4.0,4.5,1.0,1.5,0,,0,0%,Prestructural,Remember
237,3.0,2.5,4.5,0.5,1.5,0,,0,0%,Prestructural,Remember
238,3.0,5.0,4.5,2.0,1.5,1,,0,0%,Prestructural,Remember
239,3.0,4.5,4.5,1.5,1.5,tie,,0,0%,Prestructural,Remember
240,3.0,3.0,1.0,0.0,2.0,0,,0,0%,Prestructural,Remember
241,3.0,4.5,3.5,1.5,0.5,1,,0,0%,Prestructural,Remember
242,3.0,4.5,3.5,1.5,0.5,1,,0,0%,Prestructural,Remember
243,3.0,3.0,3.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
244,3.0,3.5,3.0,0.5,0.0,1,,0,0%,Prestructural,Remember
245,3.0,3.0,3.5,0.0,0.5,0,,0,0%,Prestructural,Remember
246,3.0,2.75,3.0,0.25,0.0,1,,0,0%,Prestructural,Remember
247,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
248,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
249,3.0,2.5,2.0,0.5,1.0,0,,0,0%,Prestructural,Remember
250,3.0,5.0,2.0,2.0,1.0,1,,0,0%,Prestructural,Remember
251,3.0,4.5,2.0,1.5,1.0,1,,0,0%,Prestructural,Remember
252,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
253,3.0,2.0,2.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
254,3.0,0.0,1.0,3.0,2.0,1,,0,0%,Prestructural,Remember
255,3.0,2.5,2.0,0.5,1.0,0,,0,0%,Prestructural,Remember
256,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
257,3.0,5.0,3.0,2.0,0.0,1,,0,0%,Prestructural,Remember
258,1.0,5.0,5.0,4.0,4.0,tie,,0,0%,Prestructural,Remember
259,1.0,1.0,1.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
260,1.0,5.0,5.0,4.0,4.0,tie,,0,0%,Prestructural,Remember
261,1.0,2.75,3.0,1.75,2.0,0,,0,0%,Prestructural,Remember
262,1.0,2.0,1.5,1.0,0.5,1,,0,0%,Prestructural,Remember
263,1.0,5.0,3.0,4.0,2.0,1,,0,0%,Prestructural,Remember
264,1.0,1.5,1.0,0.5,0.0,1,,0,0%,Prestructural,Remember
265,1.0,2.0,2.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
266,1.0,3.0,2.0,2.0,1.0,1,,0,0%,Prestructural,Remember
267,1.0,2.5,2.0,1.5,1.0,1,,0,0%,Prestructural,Remember
268,0.0,3.0,1.0,3.0,1.0,1,,0,0%,Prestructural,Remember
269,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
270,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
271,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
272,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
273,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
274,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
275,0.0,0.5,1.0,0.5,1.0,0,,0,0%,Prestructural,Remember
276,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
277,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
278,1.0,5.0,3.0,4.0,2.0,1,,0,0%,Prestructural,Remember
279,1.0,3.5,2.0,2.5,1.0,1,,0,0%,Prestructural,Remember
280,1.0,5.0,2.0,4.0,1.0,1,,0,0%,Prestructural,Remember
281,1.0,0.0,3.0,1.0,2.0,0,,0,0%,Prestructural,Remember
282,1.0,1.0,1.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
283,1.0,2.0,2.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
284,1.0,0.0,0.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
285,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
286,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
287,0.0,0.0,5.0,0.0,5.0,0,,0,0%,Prestructural,Remember
288,2.0,0.0,5.0,2.0,3.0,0,,0,0%,Prestructural,Remember
289,2.0,5.0,4.0,3.0,2.0,1,,0,0%,Prestructural,Remember
290,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
291,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
292,2.0,0.0,5.0,2.0,3.0,0,,0,0%,Prestructural,Remember
293,2.0,3.0,5.0,1.0,3.0,0,,0,0%,Prestructural,Remember
294,2.0,0.0,5.0,2.0,3.0,0,,0,0%,Prestructural,Remember
295,0.0,0.0,5.0,0.0,5.0,0,,0,0%,Prestructural,Remember
296,2.0,0.0,5.0,2.0,3.0,0,,0,0%,Prestructural,Remember
297,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
298,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
299,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Understand
300,2.0,5.0,5.0,3.0,3.0,tie,,0,0%,Prestructural,Remember
301,2.0,0.0,5.0,2.0,3.0,0,,0,0%,Prestructural,Remember
302,3.0,1.0,2.5,2.0,0.5,1,,0,0%,Prestructural,Understand
303,3.0,5.0,5.0,2.0,2.0,tie,,0,0%,Prestructural,Remember
304,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
305,5.0,4.0,5.0,1.0,0.0,1,,0,0%,Prestructural,Remember
306,4.0,5.0,5.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
307,2.0,0.5,2.0,1.5,0.0,1,,0,0%,Prestructural,Remember
308,4.0,4.0,4.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
309,5.0,5.0,4.5,0.0,0.5,0,,0,0%,Prestructural,Remember
310,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
311,4.0,5.0,2.0,1.0,2.0,0,,0,0%,Prestructural,Remember
312,4.0,5.0,4.5,1.0,0.5,1,,0,0%,Prestructural,Remember
313,4.0,4.0,4.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
314,5.0,4.5,4.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
315,2.0,1.0,1.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
316,4.0,3.0,2.0,1.0,2.0,0,,0,0%,Prestructural,Remember
317,5.0,5.0,5.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
318,5.0,5.0,2.0,0.0,3.0,0,,0,0%,Prestructural,Remember
319,5.0,0.0,3.0,5.0,2.0,1,,0,0%,Prestructural,Remember
320,4.0,3.0,2.0,1.0,2.0,0,,0,0%,Prestructural,Remember
321,4.0,3.0,2.5,1.0,1.5,0,,0,0%,Prestructural,Remember
322,5.0,3.5,3.0,1.5,2.0,0,,0,0%,Prestructural,Remember
323,4.0,5.0,4.0,1.0,0.0,1,,0,0%,Prestructural,Remember
324,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
325,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
326,4.0,3.5,3.5,0.5,0.5,tie,,0,0%,Prestructural,Remember
327,4.0,2.0,3.0,2.0,1.0,1,,0,0%,Prestructural,Remember
328,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
329,4.0,3.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
330,4.0,3.5,2.5,0.5,1.5,0,,0,0%,Prestructural,Remember
331,4.0,5.0,3.0,1.0,1.0,tie,,0,0%,Prestructural,Remember
332,4.0,3.0,2.5,1.0,1.5,0,,0,0%,Prestructural,Remember
333,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
334,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
335,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
336,4.0,3.5,2.5,0.5,1.5,0,,0,0%,Prestructural,Remember
337,5.0,5.0,4.0,0.0,1.0,0,,0,0%,Prestructural,Remember
338,5.0,5.0,3.0,0.0,2.0,0,,0,0%,Prestructural,Remember
339,5.0,3.5,4.0,1.5,1.0,1,,0,0%,Prestructural,Remember
340,5.0,3.0,4.0,2.0,1.0,1,,0,0%,Prestructural,Remember
341,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
