id,human_score,cllm_score,c5_score,cllm_abs_error,c5_abs_error,c5_wins,matched_concepts,n_matched_concepts,chain_pct,solo,bloom
36,5.0,4.0,4.5,1.0,0.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
37,5.0,2.0,3.5,3.0,1.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
38,5.0,4.5,4.0,0.5,1.0,0,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Understand
39,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
40,2.5,2.0,2.5,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Understand
41,2.5,1.0,1.5,1.5,1.0,1,neuron_output|weighted_sum|weight,3,38%,Multistructural,Remember
42,5.0,2.5,3.0,2.5,2.0,1,neuron_output|synapses|weight|activation_function|adder_function|mathematical_model_of_neuron,6,75%,Relational,Remember
43,5.0,2.0,3.0,3.0,2.0,1,neuron_output|weight|activation_function|weighted_sum|adder_function|bias,6,75%,Relational,Remember
44,5.0,4.5,5.0,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
45,5.0,4.5,4.5,0.5,0.5,tie,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
46,5.0,4.0,4.5,1.0,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
47,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
48,2.5,2.0,3.5,0.5,1.0,0,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
49,5.0,4.5,4.5,0.5,0.5,tie,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
50,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Analyze
51,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
52,5.0,4.5,4.0,0.5,1.0,0,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Understand
53,5.0,4.0,5.0,1.0,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
54,5.0,2.5,3.5,2.5,1.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
55,5.0,4.5,4.5,0.5,0.5,tie,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
56,5.0,2.5,4.5,2.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
57,5.0,4.5,5.0,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
58,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
59,5.0,4.5,5.0,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
60,5.0,3.5,3.5,1.5,1.5,tie,neuron_output|synapses|weight|activation_function|weighted_sum|mathematical_model_of_neuron|bias,7,88%,Extended Abstract,Remember
61,2.5,3.0,5.0,0.5,2.5,0,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
62,5.0,2.0,4.5,3.0,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
63,5.0,2.5,3.0,2.5,2.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
64,5.0,4.0,4.0,1.0,1.0,tie,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Understand
65,5.0,4.0,3.5,1.0,1.5,0,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
66,5.0,3.0,4.5,2.0,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
67,5.0,2.5,4.5,2.5,0.5,1,neuron_output|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,7,88%,Extended Abstract,Remember
68,2.5,2.5,3.0,0.0,0.5,0,neuron_output|synapses|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,6,75%,Relational,Understand
69,5.0,4.5,5.0,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Understand
70,5.0,3.5,4.5,1.5,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
71,5.0,4.0,4.5,1.0,0.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
72,2.5,4.0,4.5,1.5,2.0,0,neuron_output|synapses|weight|activation_function|adder_function|mathematical_model_of_neuron|bias,7,88%,Extended Abstract,Remember
73,5.0,2.0,3.0,3.0,2.0,1,neuron_output|synapses|weight|activation_function|adder_function|mathematical_model_of_neuron,6,75%,Relational,Understand
74,5.0,2.5,3.5,2.5,1.5,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron,7,88%,Extended Abstract,Remember
75,5.0,4.5,5.0,0.5,0.0,1,neuron_output|synapses|weight|activation_function|weighted_sum|adder_function|mathematical_model_of_neuron|bias,8,100%,Extended Abstract,Remember
76,5.0,4.5,4.0,0.5,1.0,0,weight_initialization|convergence|data_labeling|linearly_separable_data|update_rule,5,62%,Relational,Remember
77,5.0,3.0,2.5,2.0,2.5,0,weight_initialization|learning_algorithm|perceptron,3,38%,Multistructural,Remember
78,2.5,2.0,1.0,0.5,1.5,0,data_labeling,1,12%,Unistructural,Remember
79,5.0,3.5,4.0,1.5,1.0,1,weight_initialization|convergence|data_labeling|linearly_separable_data|update_rule,5,62%,Relational,Remember
80,2.5,3.0,3.0,0.5,0.5,tie,weight_initialization|linearly_separable_data|data_labeling|update_rule,4,50%,Multistructural,Remember
81,5.0,3.0,3.0,2.0,2.0,tie,weight_initialization|learning_algorithm,2,25%,Unistructural,Remember
82,5.0,4.0,4.0,1.0,1.0,tie,convergence|learning_algorithm,2,25%,Unistructural,Remember
83,2.5,1.0,2.0,1.5,0.5,1,weight_initialization|learning_algorithm|linearly_separable_data|data_labeling|update_rule,5,62%,Relational,Remember
84,5.0,3.5,4.5,1.5,0.5,1,weight_initialization|linearly_separable_data|data_labeling|update_rule,4,50%,Multistructural,Remember
85,2.5,1.5,2.0,1.0,0.5,1,weight_initialization|learning_algorithm|linearly_separable_data|data_labeling|update_rule,5,62%,Relational,Understand
86,0.0,1.0,2.0,1.0,2.0,0,data_labeling|weight_initialization|linearly_separable_data|update_rule,4,50%,Multistructural,Remember
87,5.0,3.0,3.5,2.0,1.5,1,convergence|weight_initialization|update_rule,3,38%,Multistructural,Remember
88,5.0,3.5,4.5,1.5,0.5,1,weight_initialization|data_labeling|perceptron|linearly_separable_data|update_rule,5,62%,Relational,Remember
89,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
90,2.5,2.5,3.0,0.0,0.5,0,weight_initialization|learning_algorithm|perceptron|update_rule,4,50%,Multistructural,Remember
91,0.0,0.5,1.0,0.5,1.0,0,data_labeling,1,12%,Unistructural,Remember
92,5.0,2.0,2.5,3.0,2.5,1,convergence|learning_algorithm|update_rule,3,38%,Multistructural,Remember
93,5.0,4.0,4.0,1.0,1.0,tie,weight_initialization|learning_algorithm|convergence|perceptron|data_labeling,5,62%,Relational,Remember
94,5.0,3.5,4.5,1.5,0.5,1,linearly_separable_data|update_rule|weight_initialization|binary_classification|convergence|perceptron|data_labeling,7,88%,Extended Abstract,Remember
95,5.0,4.5,4.0,0.5,1.0,0,weight_initialization|learning_algorithm|perceptron|update_rule,4,50%,Multistructural,Remember
96,5.0,2.5,3.0,2.5,2.0,1,weight_initialization|linearly_separable_data|data_labeling|update_rule,4,50%,Multistructural,Remember
97,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
98,5.0,1.0,1.5,4.0,3.5,1,data_labeling|weight_initialization|linearly_separable_data,3,38%,Multistructural,Remember
99,0.0,1.5,2.0,1.5,2.0,0,weight_initialization|update_rule,2,25%,Unistructural,Remember
100,5.0,3.5,4.0,1.5,1.0,1,weight_initialization|learning_algorithm|convergence|perceptron|data_labeling|update_rule,6,75%,Relational,Understand
101,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
102,5.0,3.0,3.5,2.0,1.5,1,weight_initialization|linearly_separable_data|convergence|data_labeling|update_rule,5,62%,Relational,Remember
103,5.0,3.5,3.0,1.5,2.0,0,weight_initialization|linearly_separable_data|convergence|data_labeling|update_rule,5,62%,Relational,Remember
104,2.5,2.5,3.0,0.0,0.5,0,weight_initialization|learning_algorithm|convergence|perceptron,4,50%,Multistructural,Remember
105,5.0,3.0,4.0,2.0,1.0,1,learning_algorithm|weight_initialization|convergence|perceptron|update_rule,5,62%,Relational,Understand
106,5.0,1.5,2.0,3.5,3.0,1,data_labeling|weight_initialization|linearly_separable_data|update_rule,4,50%,Multistructural,Remember
107,2.5,2.0,2.0,0.5,0.5,tie,linearly_separable_data|data_labeling|update_rule,3,38%,Multistructural,Remember
108,5.0,3.0,4.0,2.0,1.0,1,weight_initialization|learning_algorithm|data_labeling|linearly_separable_data|update_rule,5,62%,Relational,Remember
109,5.0,2.0,3.0,3.0,2.0,1,weight_initialization|learning_algorithm|linearly_separable_data|data_labeling|update_rule,5,62%,Relational,Remember
110,5.0,3.0,3.0,2.0,2.0,tie,perceptron|weight_initialization|binary_classification|update_rule,4,50%,Multistructural,Understand
111,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
112,5.0,4.0,3.5,1.0,1.5,0,weight_initialization,1,12%,Unistructural,Understand
113,5.0,2.0,2.0,3.0,3.0,tie,update_rule,1,12%,Unistructural,Remember
114,2.5,4.5,5.0,2.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
115,2.5,2.5,4.5,0.0,2.0,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
116,2.5,1.0,3.0,1.5,0.5,1,classification|regression_error|regression|classification_error,4,67%,Relational,Remember
117,2.5,3.5,5.0,1.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
118,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
119,2.5,2.0,3.0,0.5,0.5,tie,classification|regression_error|regression|continuous_values|classification_error,5,83%,Relational,Remember
120,2.5,3.5,3.5,1.0,1.0,tie,classification|regression_error|regression|classification_error,4,67%,Relational,Remember
121,2.5,3.5,5.0,1.0,2.5,0,classification|discrete_labels|regression|continuous_values|classification_error|regression_error,6,100%,Extended Abstract,Remember
122,2.5,2.5,3.0,0.0,0.5,0,classification|regression_error|regression|classification_error,4,67%,Relational,Remember
123,2.5,1.5,3.5,1.0,1.0,tie,classification|regression_error|regression|continuous_values|classification_error,5,83%,Relational,Remember
124,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
125,2.5,2.5,3.0,0.0,0.5,0,classification|regression_error|regression|classification_error,4,67%,Relational,Remember
126,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
127,2.5,2.0,3.5,0.5,1.0,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Understand
128,2.5,3.5,4.0,1.0,1.5,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Remember
129,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
130,2.5,2.5,3.0,0.0,0.5,0,classification|regression|classification_error|regression_error,4,67%,Relational,Remember
131,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
132,2.5,2.5,5.0,0.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Understand
133,2.5,4.0,5.0,1.5,2.5,0,classification|discrete_labels|regression|continuous_values|classification_error|regression_error,6,100%,Extended Abstract,Remember
134,2.5,3.0,4.0,0.5,1.5,0,classification|regression|continuous_values|regression_error|classification_error|discrete_labels,6,100%,Extended Abstract,Remember
135,2.5,1.0,3.0,1.5,0.5,1,classification|regression_error|regression|classification_error,4,67%,Relational,Remember
136,2.5,2.0,3.5,0.5,1.0,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Remember
137,2.5,2.5,5.0,0.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
138,2.5,3.0,4.0,0.5,1.5,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Remember
139,2.5,3.5,5.0,1.0,2.5,0,classification|discrete_labels|regression|continuous_values|classification_error|regression_error,6,100%,Extended Abstract,Remember
140,2.5,3.0,5.0,0.5,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
141,5.0,3.5,4.0,1.5,1.0,1,classification|regression|continuous_values|regression_error|classification_error|discrete_labels,6,100%,Extended Abstract,Remember
142,2.5,3.0,4.0,0.5,1.5,0,classification|regression_error|regression|continuous_values|classification_error,5,83%,Relational,Remember
143,2.5,3.5,5.0,1.0,2.5,0,classification|discrete_labels|regression|continuous_values|classification_error|regression_error,6,100%,Extended Abstract,Remember
144,2.5,3.5,5.0,1.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
145,2.5,3.5,5.0,1.0,2.5,0,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
146,2.5,3.0,4.0,0.5,1.5,0,classification|regression|continuous_values|regression_error|classification_error|discrete_labels,6,100%,Extended Abstract,Remember
147,5.0,5.0,5.0,0.0,0.0,tie,classification|regression|continuous_values|classification_error|regression_error|discrete_labels,6,100%,Extended Abstract,Remember
148,2.5,3.0,4.0,0.5,1.5,0,classification|regression|continuous_values|regression_error|classification_error|discrete_labels,6,100%,Extended Abstract,Understand
149,2.5,2.5,3.0,0.0,0.5,0,classification|regression|classification_error|regression_error|discrete_labels,5,83%,Relational,Remember
150,2.5,3.0,4.0,0.5,1.5,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Remember
151,2.5,2.5,3.5,0.0,1.0,0,classification|regression|continuous_values|regression_error|classification_error,5,83%,Relational,Understand
152,5.0,5.0,5.0,0.0,0.0,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|weight_topology|input_sampling|convergence|som_learning|winning_neuron,10,100%,Extended Abstract,Remember
153,2.5,4.5,4.5,2.0,2.0,tie,convergence|neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,10,100%,Extended Abstract,Remember
154,5.0,3.0,3.0,2.0,2.0,tie,neighborhood_function|similarity_matching|learning_rate_decay|weight_initialization|weight_update|weight_topology|winning_neuron,7,70%,Relational,Remember
155,5.0,4.5,4.5,0.5,0.5,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
156,5.0,4.0,5.0,1.0,0.0,1,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|weight_topology|input_sampling|convergence|som_learning|winning_neuron,10,100%,Extended Abstract,Remember
157,5.0,4.0,3.5,1.0,1.5,0,convergence|neighborhood_function|learning_rate_decay|weight_initialization|weight_update|input_sampling|weight_topology|som_learning,8,80%,Relational,Remember
158,5.0,4.0,4.0,1.0,1.0,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
159,0.0,0.0,0.0,0.0,0.0,tie,,0,0%,Prestructural,Remember
160,5.0,4.0,4.5,1.0,0.5,1,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
161,5.0,4.0,4.0,1.0,1.0,tie,neighborhood_function|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,8,80%,Relational,Understand
162,0.0,2.0,3.0,2.0,3.0,0,similarity_matching|weight_initialization|weight_update|weight_topology|input_sampling|convergence|som_learning|winning_neuron,8,80%,Relational,Remember
163,0.0,1.0,1.5,1.0,1.5,0,weight_update|similarity_matching|winning_neuron,3,30%,Multistructural,Remember
164,5.0,3.5,3.0,1.5,2.0,0,weight_update|weight_initialization|input_sampling|weight_topology|som_learning|similarity_matching|winning_neuron,7,70%,Relational,Remember
165,5.0,4.0,4.5,1.0,0.5,1,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
166,5.0,4.0,4.5,1.0,0.5,1,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
167,5.0,3.5,3.5,1.5,1.5,tie,similarity_matching|weight_initialization|weight_update|weight_topology|input_sampling|convergence|winning_neuron,7,70%,Relational,Remember
168,5.0,3.0,3.0,2.0,2.0,tie,neighborhood_function|similarity_matching|learning_rate_decay|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,8,80%,Relational,Remember
169,5.0,4.0,4.0,1.0,1.0,tie,convergence|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
170,5.0,4.5,4.5,0.5,0.5,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
171,5.0,4.0,3.0,1.0,2.0,0,similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,6,60%,Multistructural,Remember
172,5.0,4.0,3.5,1.0,1.5,0,neighborhood_function|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,7,70%,Relational,Remember
173,5.0,4.0,3.0,1.0,2.0,0,convergence|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning,7,70%,Relational,Understand
174,5.0,4.5,3.5,0.5,1.5,0,neighborhood_function|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,7,70%,Relational,Analyze
175,5.0,4.0,4.0,1.0,1.0,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,8,80%,Relational,Remember
176,5.0,4.5,4.5,0.5,0.5,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Understand
177,5.0,3.5,3.5,1.5,1.5,tie,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Remember
178,5.0,3.0,3.0,2.0,2.0,tie,neighborhood_function|similarity_matching|weight_initialization|weight_update|weight_topology|winning_neuron,6,60%,Multistructural,Remember
179,5.0,4.0,3.5,1.0,1.5,0,neighborhood_function|learning_rate_decay|weight_initialization|weight_update|input_sampling|weight_topology|som_learning,7,70%,Relational,Remember
180,5.0,3.5,3.5,1.5,1.5,tie,neighborhood_function|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,7,70%,Relational,Remember
181,5.0,4.0,4.5,1.0,0.5,1,neighborhood_function|learning_rate_decay|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|som_learning|winning_neuron,9,90%,Extended Abstract,Understand
182,2.5,2.0,2.5,0.5,0.0,1,neighborhood_function|similarity_matching|weight_initialization|weight_update|weight_topology|winning_neuron,6,60%,Multistructural,Remember
183,5.0,3.5,3.5,1.5,1.5,tie,neighborhood_function|similarity_matching|weight_initialization|weight_update|input_sampling|weight_topology|winning_neuron,7,70%,Relational,Understand
